Number,Blocked or Success,Day of Week,Month,Date,Time,Week Number,ISO-8601
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:25,WN7,2017-02-12 10:25:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:26,WN7,2017-02-12 10:26:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:30,WN7,2017-02-12 10:30:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:34,WN7,2017-02-12 10:34:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:47,WN7,2017-02-12 10:47:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:49,WN7,2017-02-12 10:49:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:51,WN7,2017-02-12 10:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:52,WN7,2017-02-12 10:52:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:55,WN7,2017-02-12 10:55:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,10:58,WN7,2017-02-12 10:58:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:04,WN7,2017-02-12 11:04:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:12,WN7,2017-02-12 11:12:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:36,WN7,2017-02-12 11:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:44,WN7,2017-02-12 11:44:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:49,WN7,2017-02-12 11:49:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:54,WN7,2017-02-12 11:54:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,11:59,WN7,2017-02-12 11:59:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:04,WN7,2017-02-12 12:04:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:09,WN7,2017-02-12 12:09:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:14,WN7,2017-02-12 12:14:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:19,WN7,2017-02-12 12:19:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:24,WN7,2017-02-12 12:24:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:29,WN7,2017-02-12 12:29:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:34,WN7,2017-02-12 12:34:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:39,WN7,2017-02-12 12:39:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:44,WN7,2017-02-12 12:44:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:49,WN7,2017-02-12 12:49:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:54,WN7,2017-02-12 12:54:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,12:59,WN7,2017-02-12 12:59:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:04,WN7,2017-02-12 13:04:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:09,WN7,2017-02-12 13:09:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:14,WN7,2017-02-12 13:14:00
